id,name,late,subject
4,Peter Montgomery,0,biology
5,Theodore Mcgrath,0,biology
8,Brian Hamilton,0,biology
9,Susan Levy,0,biology
10,Sean Green,17,biology
21,Laurie Wallace,0,biology
22,Janice Johnston,0,biology
27,Kimberly Myers,0,biology
32,Angela Salazar,0,biology
36,Susan Wagner,0,biology
43,Sean Green,0,biology
45,Jennifer Summers,0,biology
46,April Snyder,0,biology
52,Michelle Kelley,14,biology
55,Janice Johnston,0,biology
63,Lauren Hayes,0,biology
64,Whitney Stark,0,biology
65,Angela Salazar,0,biology
67,Jorge Sullivan,20,biology
73,Stephanie Sutton,0,biology
83,Bobby Flores,0,biology
84,Tasha Rodriguez,0,biology
96,Lauren Hayes,0,biology
103,Peter Montgomery,0,biology
104,Theodore Mcgrath,0,biology
110,Kimberly Smith,0,biology
111,Jennifer Summers,0,biology
113,Dana Nguyen,0,biology
119,Kimberly Maynard,0,biology
127,Desiree Cain,0,biology
135,Susan Wagner,0,biology
139,Stephanie Sutton,0,biology
144,Jennifer Summers,1,biology
145,April Snyder,2,biology
148,Walter Pratt,0,biology
156,Mary Alvarez,60,biology
158,Sarah Villanueva,0,biology
163,Whitney Stark,0,biology
171,Stephanie Collins,0,biology
174,Susan Levy,0,biology
177,Jennifer Summers,0,biology
179,Dana Nguyen,1,biology
187,Janice Johnston,0,biology
189,Mary Alvarez,0,biology
191,Sarah Villanueva,60,biology
197,Angela Salazar,0,biology
202,Peter Montgomery,0,biology
204,Stephanie Collins,0,biology
206,Brian Hamilton,0,biology
209,Kimberly Smith,0,biology
214,Walter Pratt,0,biology
221,Collin Lopez,0,biology
228,Lauren Hayes,0,biology
234,Susan Wagner,0,biology
240,Susan Levy,0,biology
241,Sean Green,0,biology
249,Tasha Rodriguez,0,biology
251,Kimberly Maynard,0,biology
252,Laurie Wallace,0,biology
253,Janice Johnston,0,biology
255,Mary Alvarez,0,biology
256,Peter Mcdowell,0,biology
257,Sarah Villanueva,0,biology
267,Susan Wagner,0,biology
281,Bobby Flores,0,biology
282,Tasha Rodriguez,0,biology
294,Lauren Hayes,0,biology
299,Elizabeth Woods,0,biology
300,Susan Wagner,0,biology
302,Theodore Mcgrath,0,biology
304,Stephanie Sutton,0,biology
308,Kimberly Smith,0,biology
309,Jennifer Summers,0,biology
320,Collin Lopez,0,biology
357,Kimberly Myers,13,biology
384,Laurie Wallace,0,biology
389,Sarah Villanueva,0,biology
391,Desiree Cain,0,biology
400,Peter Montgomery,0,biology
414,Tasha Rodriguez,0,biology
425,Stephanie Lawrence,0,biology
428,Angela Salazar,0,biology
448,Michelle Kelley,0,biology
456,Kimberly Myers,0,biology
457,Desiree Cain,0,biology
462,Norma Fisher,0,biology
469,Stephanie Sutton,0,biology
472,Sean Green,0,biology
478,Walter Pratt,8,biology
480,Tasha Rodriguez,0,biology
484,Janice Johnston,0,biology
486,Mary Alvarez,6,biology
496,Jorge Sullivan,0,biology
501,Stephanie Collins,0,biology
529,Jorge Sullivan,0,biology
530,Elizabeth Woods,0,biology
532,Peter Montgomery,0,biology
535,Stephanie Sutton,0,biology
549,Laurie Wallace,0,biology
561,Norma Fisher,0,biology
580,Michelle Kelley,0,biology
583,Janice Johnston,0,biology
588,Kimberly Myers,0,biology
591,Lauren Hayes,0,biology
597,Susan Wagner,60,biology
604,Sean Green,0,biology
605,Kimberly Smith,0,biology
607,April Snyder,0,biology
610,Walter Pratt,0,biology
613,Michelle Kelley,0,biology
617,Collin Lopez,0,biology
620,Sarah Villanueva,0,biology
622,Desiree Cain,0,biology
623,Stephanie Lawrence,10,biology
626,Angela Salazar,0,biology
630,Susan Wagner,0,biology
631,Peter Montgomery,0,biology
632,Theodore Mcgrath,0,biology
635,Brian Hamilton,0,biology
636,Susan Levy,0,biology
642,Cheryl Bradley,0,biology
655,Desiree Cain,0,biology
659,Angela Salazar,60,biology
661,Jorge Sullivan,0,biology
669,Susan Levy,0,biology
673,April Snyder,0,biology
680,Kimberly Maynard,0,biology
689,Stephanie Lawrence,0,biology
691,Whitney Stark,60,biology
692,Angela Salazar,0,biology
695,Elizabeth Woods,0,biology
698,Theodore Mcgrath,0,biology
699,Stephanie Collins,0,biology
706,April Snyder,11,biology
722,Stephanie Lawrence,6,biology
725,Angela Salazar,0,biology
729,Susan Wagner,0,biology
730,Peter Montgomery,0,biology
735,Susan Levy,0,biology
736,Sean Green,0,biology
748,Janice Johnston,0,biology
751,Peter Mcdowell,0,biology
754,Desiree Cain,0,biology
755,Stephanie Lawrence,0,biology
762,Susan Wagner,0,biology
767,Brian Hamilton,0,biology
776,Bobby Flores,0,biology
794,Elizabeth Woods,0,biology
795,Susan Wagner,60,biology
797,Theodore Mcgrath,0,biology
804,Jennifer Summers,0,biology
817,Peter Mcdowell,0,biology
818,Sarah Villanueva,0,biology
821,Stephanie Lawrence,0,biology
834,Susan Levy,0,biology
836,Kimberly Smith,0,biology
842,Bobby Flores,0,biology
844,Michelle Kelley,0,biology
847,Janice Johnston,0,biology
853,Desiree Cain,0,biology
865,Stephanie Sutton,0,biology
867,Susan Levy,0,biology
868,Sean Green,1,biology
869,Kimberly Smith,0,biology
872,Dana Nguyen,0,biology
876,Tasha Rodriguez,0,biology
883,Peter Mcdowell,0,biology
885,Kimberly Myers,0,biology
891,Norma Fisher,0,biology
892,Jorge Sullivan,0,biology
893,Elizabeth Woods,0,biology
894,Susan Wagner,0,biology
897,Stephanie Collins,0,biology
898,Stephanie Sutton,0,biology
904,April Snyder,5,biology
905,Dana Nguyen,0,biology
913,Janice Johnston,0,biology
948,Mary Alvarez,0,biology
973,Walter Pratt,0,biology
977,Kimberly Maynard,0,biology
982,Peter Mcdowell,0,biology
989,Angela Salazar,0,biology
